model_name,run_id,setting,language,slice_type,slice_value,n_records,mean_score,median_score
calibration-suite,case_01,scoring-calibration-v1,ru,subset,hard_core,1,100.0,100.0
calibration-suite,case_02,scoring-calibration-v1,ru,subset,easy_control,1,95.0,95.0
calibration-suite,case_03,scoring-calibration-v1,ru,subset,easy_control,1,44.809211,44.809211
calibration-suite,case_04,scoring-calibration-v1,ru,subset,hard_core,1,93.6,93.6
calibration-suite,case_05,scoring-calibration-v1,ru,subset,hard_core,1,80.8,80.8
calibration-suite,case_06,scoring-calibration-v1,ru,subset,hard_core,1,10.625,10.625
calibration-suite,case_08,scoring-calibration-v1,ru,subset,hard_core,1,35.508836,35.508836
calibration-suite,case_09,scoring-calibration-v1,ru,subset,easy_control,1,55.574084,55.574084
calibration-suite,case_10,scoring-calibration-v1,ru,subset,hard_core,1,47.284903,47.284903
calibration-suite,case_11,scoring-calibration-v1,ru,subset,easy_control,1,28.071316,28.071316
calibration-suite,case_12,scoring-calibration-v1,ru,subset,easy_control,1,19.573289,19.573289
calibration-suite,case_13,scoring-calibration-v1,ru,subset,hard_core,1,84.020078,84.020078
calibration-suite,case_14,scoring-calibration-v1,ru,subset,zero_gold,1,100.0,100.0
calibration-suite,case_15,scoring-calibration-v1,ru,subset,zero_gold,1,7.6875,7.6875
calibration-suite,case_16,scoring-calibration-v1,ru,subset,zero_gold,1,15.0,15.0
calibration-suite,case_01,scoring-calibration-v1,ru,domain,movie,1,100.0,100.0
calibration-suite,case_02,scoring-calibration-v1,ru,domain,movie,1,95.0,95.0
calibration-suite,case_03,scoring-calibration-v1,ru,domain,movie,1,44.809211,44.809211
calibration-suite,case_04,scoring-calibration-v1,ru,domain,movie,1,93.6,93.6
calibration-suite,case_05,scoring-calibration-v1,ru,domain,movie,1,80.8,80.8
calibration-suite,case_06,scoring-calibration-v1,ru,domain,movie,1,10.625,10.625
calibration-suite,case_08,scoring-calibration-v1,ru,domain,movie,1,35.508836,35.508836
calibration-suite,case_09,scoring-calibration-v1,ru,domain,movie,1,55.574084,55.574084
calibration-suite,case_10,scoring-calibration-v1,ru,domain,countries,1,47.284903,47.284903
calibration-suite,case_11,scoring-calibration-v1,ru,domain,movie,1,28.071316,28.071316
calibration-suite,case_12,scoring-calibration-v1,ru,domain,movie,1,19.573289,19.573289
calibration-suite,case_13,scoring-calibration-v1,ru,domain,movie,1,84.020078,84.020078
calibration-suite,case_14,scoring-calibration-v1,ru,domain,movie,1,100.0,100.0
calibration-suite,case_15,scoring-calibration-v1,ru,domain,movie,1,7.6875,7.6875
calibration-suite,case_16,scoring-calibration-v1,ru,domain,movie,1,15.0,15.0
calibration-suite,case_01,scoring-calibration-v1,ru,complexity,L3,1,100.0,100.0
calibration-suite,case_02,scoring-calibration-v1,ru,complexity,L2,1,95.0,95.0
calibration-suite,case_03,scoring-calibration-v1,ru,complexity,L2,1,44.809211,44.809211
calibration-suite,case_04,scoring-calibration-v1,ru,complexity,L3,1,93.6,93.6
calibration-suite,case_05,scoring-calibration-v1,ru,complexity,L3,1,80.8,80.8
calibration-suite,case_06,scoring-calibration-v1,ru,complexity,L3,1,10.625,10.625
calibration-suite,case_08,scoring-calibration-v1,ru,complexity,L3,1,35.508836,35.508836
calibration-suite,case_09,scoring-calibration-v1,ru,complexity,L2,1,55.574084,55.574084
calibration-suite,case_10,scoring-calibration-v1,ru,complexity,L3,1,47.284903,47.284903
calibration-suite,case_11,scoring-calibration-v1,ru,complexity,L2,1,28.071316,28.071316
calibration-suite,case_12,scoring-calibration-v1,ru,complexity,L2,1,19.573289,19.573289
calibration-suite,case_13,scoring-calibration-v1,ru,complexity,L3,1,84.020078,84.020078
calibration-suite,case_14,scoring-calibration-v1,ru,complexity,L5,1,100.0,100.0
calibration-suite,case_15,scoring-calibration-v1,ru,complexity,L5,1,7.6875,7.6875
calibration-suite,case_16,scoring-calibration-v1,ru,complexity,L5,1,15.0,15.0
calibration-suite,case_01,scoring-calibration-v1,ru,answerability,answerable,1,100.0,100.0
calibration-suite,case_02,scoring-calibration-v1,ru,answerability,answerable,1,95.0,95.0
calibration-suite,case_03,scoring-calibration-v1,ru,answerability,answerable,1,44.809211,44.809211
calibration-suite,case_04,scoring-calibration-v1,ru,answerability,answerable,1,93.6,93.6
calibration-suite,case_05,scoring-calibration-v1,ru,answerability,answerable,1,80.8,80.8
calibration-suite,case_06,scoring-calibration-v1,ru,answerability,answerable,1,10.625,10.625
calibration-suite,case_08,scoring-calibration-v1,ru,answerability,answerable,1,35.508836,35.508836
calibration-suite,case_09,scoring-calibration-v1,ru,answerability,answerable,1,55.574084,55.574084
calibration-suite,case_10,scoring-calibration-v1,ru,answerability,answerable,1,47.284903,47.284903
calibration-suite,case_11,scoring-calibration-v1,ru,answerability,answerable,1,28.071316,28.071316
calibration-suite,case_12,scoring-calibration-v1,ru,answerability,answerable,1,19.573289,19.573289
calibration-suite,case_13,scoring-calibration-v1,ru,answerability,answerable,1,84.020078,84.020078
calibration-suite,case_14,scoring-calibration-v1,ru,answerability,zero_gold,1,100.0,100.0
calibration-suite,case_15,scoring-calibration-v1,ru,answerability,zero_gold,1,7.6875,7.6875
calibration-suite,case_16,scoring-calibration-v1,ru,answerability,zero_gold,1,15.0,15.0
