model_name,run_id,setting,language,slice_type,slice_value,n_records,mean_score,median_score
calibration-suite,case_01,scoring-calibration-v1,ru,subset,hard_core,1,100.0,100.0
calibration-suite,case_02,scoring-calibration-v1,ru,subset,easy_control,1,95.0,95.0
calibration-suite,case_03,scoring-calibration-v1,ru,subset,easy_control,1,54.940789,54.940789
calibration-suite,case_04,scoring-calibration-v1,ru,subset,hard_core,1,87.7968,87.7968
calibration-suite,case_05,scoring-calibration-v1,ru,subset,hard_core,1,65.7712,65.7712
calibration-suite,case_06,scoring-calibration-v1,ru,subset,hard_core,1,10.625,10.625
calibration-suite,case_07,scoring-calibration-v1,ru,subset,hard_core,1,5.0,5.0
calibration-suite,case_08,scoring-calibration-v1,ru,subset,hard_core,1,31.515098,31.515098
calibration-suite,case_09,scoring-calibration-v1,ru,subset,easy_control,1,51.258101,51.258101
calibration-suite,case_10,scoring-calibration-v1,ru,subset,hard_core,1,43.074254,43.074254
calibration-suite,case_11,scoring-calibration-v1,ru,subset,easy_control,1,28.071316,28.071316
calibration-suite,case_12,scoring-calibration-v1,ru,subset,easy_control,1,10.0,10.0
calibration-suite,case_13,scoring-calibration-v1,ru,subset,hard_core,1,84.020078,84.020078
calibration-suite,case_14,scoring-calibration-v1,ru,subset,zero_gold,1,100.0,100.0
calibration-suite,case_15,scoring-calibration-v1,ru,subset,zero_gold,1,3.0,3.0
calibration-suite,case_16,scoring-calibration-v1,ru,subset,zero_gold,1,15.0,15.0
calibration-suite,case_01,scoring-calibration-v1,ru,domain,movie,1,100.0,100.0
calibration-suite,case_02,scoring-calibration-v1,ru,domain,movie,1,95.0,95.0
calibration-suite,case_03,scoring-calibration-v1,ru,domain,movie,1,54.940789,54.940789
calibration-suite,case_04,scoring-calibration-v1,ru,domain,movie,1,87.7968,87.7968
calibration-suite,case_05,scoring-calibration-v1,ru,domain,movie,1,65.7712,65.7712
calibration-suite,case_06,scoring-calibration-v1,ru,domain,movie,1,10.625,10.625
calibration-suite,case_07,scoring-calibration-v1,ru,domain,movie,1,5.0,5.0
calibration-suite,case_08,scoring-calibration-v1,ru,domain,movie,1,31.515098,31.515098
calibration-suite,case_09,scoring-calibration-v1,ru,domain,movie,1,51.258101,51.258101
calibration-suite,case_10,scoring-calibration-v1,ru,domain,countries,1,43.074254,43.074254
calibration-suite,case_11,scoring-calibration-v1,ru,domain,movie,1,28.071316,28.071316
calibration-suite,case_12,scoring-calibration-v1,ru,domain,movie,1,10.0,10.0
calibration-suite,case_13,scoring-calibration-v1,ru,domain,movie,1,84.020078,84.020078
calibration-suite,case_14,scoring-calibration-v1,ru,domain,movie,1,100.0,100.0
calibration-suite,case_15,scoring-calibration-v1,ru,domain,movie,1,3.0,3.0
calibration-suite,case_16,scoring-calibration-v1,ru,domain,movie,1,15.0,15.0
calibration-suite,case_01,scoring-calibration-v1,ru,complexity,L3,1,100.0,100.0
calibration-suite,case_02,scoring-calibration-v1,ru,complexity,L2,1,95.0,95.0
calibration-suite,case_03,scoring-calibration-v1,ru,complexity,L2,1,54.940789,54.940789
calibration-suite,case_04,scoring-calibration-v1,ru,complexity,L3,1,87.7968,87.7968
calibration-suite,case_05,scoring-calibration-v1,ru,complexity,L3,1,65.7712,65.7712
calibration-suite,case_06,scoring-calibration-v1,ru,complexity,L3,1,10.625,10.625
calibration-suite,case_07,scoring-calibration-v1,ru,complexity,L3,1,5.0,5.0
calibration-suite,case_08,scoring-calibration-v1,ru,complexity,L3,1,31.515098,31.515098
calibration-suite,case_09,scoring-calibration-v1,ru,complexity,L2,1,51.258101,51.258101
calibration-suite,case_10,scoring-calibration-v1,ru,complexity,L3,1,43.074254,43.074254
calibration-suite,case_11,scoring-calibration-v1,ru,complexity,L2,1,28.071316,28.071316
calibration-suite,case_12,scoring-calibration-v1,ru,complexity,L2,1,10.0,10.0
calibration-suite,case_13,scoring-calibration-v1,ru,complexity,L3,1,84.020078,84.020078
calibration-suite,case_14,scoring-calibration-v1,ru,complexity,L5,1,100.0,100.0
calibration-suite,case_15,scoring-calibration-v1,ru,complexity,L5,1,3.0,3.0
calibration-suite,case_16,scoring-calibration-v1,ru,complexity,L5,1,15.0,15.0
calibration-suite,case_01,scoring-calibration-v1,ru,answerability,answerable,1,100.0,100.0
calibration-suite,case_02,scoring-calibration-v1,ru,answerability,answerable,1,95.0,95.0
calibration-suite,case_03,scoring-calibration-v1,ru,answerability,answerable,1,54.940789,54.940789
calibration-suite,case_04,scoring-calibration-v1,ru,answerability,answerable,1,87.7968,87.7968
calibration-suite,case_05,scoring-calibration-v1,ru,answerability,answerable,1,65.7712,65.7712
calibration-suite,case_06,scoring-calibration-v1,ru,answerability,answerable,1,10.625,10.625
calibration-suite,case_07,scoring-calibration-v1,ru,answerability,answerable,1,5.0,5.0
calibration-suite,case_08,scoring-calibration-v1,ru,answerability,answerable,1,31.515098,31.515098
calibration-suite,case_09,scoring-calibration-v1,ru,answerability,answerable,1,51.258101,51.258101
calibration-suite,case_10,scoring-calibration-v1,ru,answerability,answerable,1,43.074254,43.074254
calibration-suite,case_11,scoring-calibration-v1,ru,answerability,answerable,1,28.071316,28.071316
calibration-suite,case_12,scoring-calibration-v1,ru,answerability,answerable,1,10.0,10.0
calibration-suite,case_13,scoring-calibration-v1,ru,answerability,answerable,1,84.020078,84.020078
calibration-suite,case_14,scoring-calibration-v1,ru,answerability,zero_gold,1,100.0,100.0
calibration-suite,case_15,scoring-calibration-v1,ru,answerability,zero_gold,1,3.0,3.0
calibration-suite,case_16,scoring-calibration-v1,ru,answerability,zero_gold,1,15.0,15.0
